公交车	公交車	gong1jiao1che1	gōngjiāochē	public transport vehicle; town bus
公斤	公斤	gong1jin1	gōngjīn	kilogram (kg)
公里	公里	gong1li3	gōnglǐ	kilometer
公路	公路	gong1lu4	gōnglù	highway; road
公平	公平	gong1ping2	gōngpíng	fair; impartial
公司	公司	gong1si1	gōngsī	company; firm; corporation
公园	公園	gong1yuan2	gōngyuán	park (for public recreation)
狗	狗	gou3	gǒu	dog
够	夠	gou4	gòu	enough (sufficient); enough (too much); (coll.) (before adj.) really
故事	故事	gu4shi4	gùshì	old practice
故意	故意	gu4yi4	gùyì	deliberately; on purpose
顾客	顧客	gu4ke4	gùkè	customer; client
关机	關機	guan1ji1	guānjī	to turn off (a machine or device); to finish shooting a film
关心	關心	guan1xin1	guānxīn	to be concerned about; to care about
观点	觀點	guan1dian3	guāndiǎn	point of view; viewpoint; standpoint
广场	廣場	guang3chang3	guǎngchǎng	public square; plaza
广告	廣告	guang3gao4	guǎnggào	to advertise; a commercial; advertisement
国际	國際	guo2ji4	guójì	international
过来	過來	guo4lai2	guòlái	to come over; to manage; to handle
过年	過年	guo4nian2	guònián	to celebrate the Chinese New Year
过去	過去	guo4qu4	guòqù	(in the) past; former; previous
海	海	hai3	hǎi	ocean; sea; great number of people or things
海边	海邊	hai3bian1	hǎibiān	coast; seaside; seashore
喊	喊	han3	hǎn	to yell; to shout; to call out for (a person)
好处	好處	hao3chu5	hǎochu	benefit; advantage; merit; gain; profit; also pr. [hǎo chù]
好多	好多	hao3duo1	hǎoduō	many; quite a lot; much better
好久	好久	hao3jiu3	hǎojiǔ	quite a while
好人	好人	hao3ren2	hǎorén	good person; healthy person; person who tries not to offend anyone, even at the expense of principle
好事	好事	hao3shi4	hǎoshì	good action, deed, thing or work (also sarcastic, "a fine thing indeed"); charity; happy occasion
好像	好像	hao3xiang4	hǎoxiàng	as if; to seem like
合适	合適	he2shi4	héshì	suitable; fitting; appropriate
河	河	he2	hé	river
黑	黑	hei1	hēi	black; dark; sinister
黑板	黑板	hei1ban3	hēibǎn	blackboard
黑色	黑色	hei1se4	hēisè	black
红	紅	hong2	hóng	red; popular; revolutionary
红色	紅色	hong2se4	hóngsè	red (color); revolutionary
后来	後來	hou4lai2	hòulái	afterwards; later; newly arrived
忽然	忽然	hu1ran2	hūrán	suddenly; all of a sudden
湖	湖	hu2	hú	lake
护照	護照	hu4zhao4	hùzhào	passport
花园	花園	hua1yuan2	huāyuán	garden
画	畫	hua4	huà	to draw; to paint; picture; painting; to draw (a line) (variant of 划)
画家	畫家	hua4jia1	huàjiā	painter
画儿	畫兒	hua4r5	huàr	picture; drawing; painting
坏处	壞處	huai4chu5	huàichu	harm; troubles
坏人	壞人	huai4ren2	huàirén	bad person; villain
欢迎	歡迎	huan1ying2	huānyíng	to welcome; welcome
换	換	huan4	huàn	to exchange; to change (clothes etc); to substitute
黄	黃	huang2	huáng	yellow; pornographic; to fall through
黄色	黃色	huang2se4	huángsè	yellow (color); pornographic
回国	回國	hui2guo2	huíguó	to return to one's home country
活动	活動	huo2dong4	huódòng	to exercise; to move about; to operate
或	或	huo4	huò	maybe; perhaps; might
或者	或者	huo4zhe3	huòzhě	or; possibly; maybe; perhaps
机会	機會	ji1hui4	jīhuì	opportunity; chance; occasion
鸡	雞	ji1	jī	fowl; chicken; (slang) prostitute
级	級	ji2	jí	level; grade; rank
急	急	ji2	jí	urgent; pressing; rapid
计划	計劃	ji4hua4	jìhuà	plan; project; program
计算机	計算機	ji4suan4ji1	jìsuànjī	computer; (Tw) calculator
加	加	jia1	jiā	to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)
加油	加油	jia1you2	jiāyóu	to add oil; to top up with gas; to refuel
家庭	家庭	jia1ting2	jiātíng	family; household
家长	家長	jia1zhang3	jiāzhǎng	head of a household; family head; patriarch
假	假	jia3	jiǎ	fake; false; artificial
假期	假期	jia4qi1	jiàqī	vacation
检查	檢查	jian3cha2	jiǎnchá	inspection; to examine; to inspect
见到	見到	jian4dao4	jiàndào	to see
见过	見過	jiànguò	jiànguò	seen
件	件	jian4	jiàn	item; component; classifier for events, things, clothes etc
健康	健康	jian4kang1	jiànkāng	health; healthy
讲	講	jiang3	jiǎng	to speak; to explain; to negotiate
讲话	講話	jiang3hua4	jiǎnghuà	a speech; to speak; to talk
交	交	jiao1	jiāo	to hand over; to deliver; to pay (money)
交给	交給	jiao1gei3	jiāogěi	to give; to deliver; to hand over
交朋友	交朋友	jiao1peng2you5	jiāopéngyou	to make friends; (dialect) to start an affair with sb
交通	交通	jiao1tong1	jiāotōng	to be connected; traffic; transportation
角	角	jiao3	jiǎo	angle; corner; horn
角度	角度	jiao3du4	jiǎodù	angle; point of view
饺子	餃子	jiao3zi5	jiǎozi	dumpling; pot-sticker
脚	腳	jiao3	jiǎo	foot; leg (of an animal or an object); base (of an object)
叫作	叫作	jiao4zuo4	jiàozuò	to call; to be called
教师	教師	jiao4shi1	jiàoshī	teacher
教室	教室	jiao4shi4	jiàoshì	classroom
教学	教學	jiao4xue2	jiàoxué	teaching; instruction
教育	教育	jiao4yu4	jiàoyù	to educate; to teach; education
接	接	jie1	jiē	to receive; to answer (the phone); to meet or welcome sb
接到	接到	jie1dao4	jiēdào	to receive (letter etc)
接受	接受	jie1shou4	jiēshòu	to accept; to receive
接下来	接下來	jie1xia4lai2	jiēxiàlái	to accept; to take; next
接着	接著	jie1zhe5	jiēzhe	to catch and hold on; to continue; to go on to do sth
街	街	jie1	jiē	street
节	節	jie2	jié	joint; node; (bound form) section; segment; solar term (one of the 24 divisions of the year in the traditional Chinese calendar)
节目	節目	jie2mu4	jiémù	program; item (on a program)
节日	節日	jie2ri4	jiérì	holiday; festival
结果	結果	jie2guo3	jiéguǒ	outcome; result; conclusion
借	借	jie4	jiè	to lend; to borrow; by means of
斤	斤	jin1	jīn	catty; (PRC) weight equal to 500 g; (Tw) weight equal to 600 g
今后	今後	jin1hou4	jīnhòu	hereafter; henceforth; in the future
进入	進入	jin4ru4	jìnrù	to enter; to join; to go into
进行	進行	jin4xing2	jìnxíng	to advance; to conduct; underway
近	近	jin4	jìn	near; close to; approximately
经常	經常	jing1chang2	jīngcháng	frequently; constantly; regularly; often; day-to-day; everyday; daily
经过	經過	jing1guo4	jīngguò	to pass; to go through; process
经理	經理	jing1li3	jīnglǐ	manager; director
酒	酒	jiu3	jiǔ	wine (esp. rice wine); liquor; spirits
酒店	酒店	jiu3dian4	jiǔdiàn	wine shop; pub (public house); hotel
就要	就要	jiu4yao4	jiùyào	will; shall; to be going to
举	舉	ju3	jǔ	to lift; to hold up; to cite
举手	舉手	ju3shou3	jǔshǒu	to raise a hand; to put up one's hand (as signal)
举行	舉行	ju3xing2	jǔxíng	to hold (a meeting, ceremony etc)
句	句	ju4	jù	sentence; clause; phrase
句子	句子	ju4zi5	jùzi	sentence
卡	卡	ka3	kǎ	card (loanword); calorie | to block; a checkpoint
开机	開機	kai1ji1	kāijī	to start an engine; to boot up (a computer); to press Ctrl-Alt-Delete
开心	開心	kai1xin1	kāixīn	to feel happy; to rejoice; to have a great time
开学	開學	kai1xue2	kāixué	foundation of a University or College; school opening; the start of a new term
看法	看法	kan4fa3	kànfǎ	way of looking at a thing; view; opinion
考生	考生	kao3sheng1	kǎoshēng	exam candidate; student whose name has been put forward for an exam
靠	靠	kao4	kào	to lean against or on; to stand by the side of; to come near to
科	科	ke1	kē	branch of study; administrative section; division
科学	科學	ke1xue2	kēxué	science; scientific knowledge; scientific
可爱	可愛	ke3ai4	kěài	adorable; cute; lovely
可能	可能	ke3neng2	kěnéng	might (happen); possible; probable
可怕	可怕	ke3pa4	kěpà	awful; dreadful; fearful
可是	可是	ke3shi4	kěshì	but; however; (used for emphasis) indeed
可以	可以	ke3yi3	kěyǐ	can; may; possible
克	克	ke4	kè	gram; to subdue; to restrain
刻	刻	ke4	kè	quarter (hour); moment; to carve
客人	客人	ke4ren2	kèrén	visitor; guest; customer
课堂	課堂	ke4tang2	kètáng	classroom
空气	空氣	kong1qi4	kōngqì	air; atmosphere
哭	哭	ku1	kū	to cry; to weep
快餐	快餐	kuai4can1	kuàicān	fast food; snack; quick meal
快点儿	快點兒	kuai4dian3r5	kuàidiǎnr	erhua variant of 快点; to do smh more quickly; Hurry up!
快乐	快樂	kuai4le4	kuàilè	happy; joyful
快要	快要	kuai4yao4	kuàiyào	nearly at the point of (doing sth); about to (do sth)
筷子	筷子	kuai4zi5	kuàizi	chopsticks
拉	拉	la1	lā	to pull; to play (a bowed instrument); to drag
来自	來自	lai2zi4	láizì	to come from (a place); From: (in email header)
蓝	藍	lan2	lán	blue; indigo plant
蓝色	藍色	lan2se4	lánsè	blue (color)
篮球	籃球	lan2qiu2	lánqiú	basketball
老年	老年	lao3nian2	lǎonián	elderly; old age; autumn of one's years
老朋友	老朋友	lao3peng2you5	lǎopéngyou	old friend; (slang) period; menstruation
老是	老是	lao3shi5	lǎoshi	always
离	離	li2	lí	to leave; to part from; to be away from
离开	離開	li2kai1	líkāi	to depart; to leave
礼物	禮物	li3wu4	lǐwù	gift; present
里头	裡頭	li3tou5	lǐtou	inside; interior
理想	理想	li3xiang3	lǐxiǎng	an ideal; a dream; ideal
例如	例如	li4ru2	lìrú	for example; for instance; such as
例子	例子	li4zi5	lìzi	case; (for) instance; example
脸	臉	lian3	liǎn	face
练	練	lian4	liàn	to practice; to train; to drill
练习	練習	lian4xi2	liànxí	to practice; exercise; drill
凉	涼	liang2	liáng	cool; cold
凉快	涼快	liang2kuai5	liángkuai	nice and cold; pleasantly cool
亮	亮	liang4	liàng	bright; clear; resonant
辆	輛	liang4	liàng	classifier for vehicles
零下	零下	ling2xia4	língxià	below zero
留	留	liu2	liú	to leave (a message etc); to retain; to stay
留下	留下	liu2xia4	liúxià	to leave behind; to stay behind; to remain
留学生	留學生	liu2xue2sheng1	liúxuéshēng	student studying abroad; (foreign) exchange student
流	流	liu2	liú	to flow; to disseminate; to circulate or spread
流利	流利	liu2li4	liúlì	fluent
流行	流行	liu2xing2	liúxíng	(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular
路边	路邊	lu4bian1	lùbiān	curb; roadside; wayside
旅客	旅客	lü3ke4	lǚkè	traveler; tourist
旅行	旅行	lü3xing2	lǚxíng	to travel; journey; trip
旅游	旅遊	lü3you2	lǚyóu	trip; journey; tourism
绿	綠	lü4	lǜ	green; (slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend)
绿色	綠色	lü4se4	lǜsè	green
卖	賣	mai4	mài	to sell; to betray; to spare no effort
满	滿	man3	mǎn	to fill; full; filled
满意	滿意	man3yi4	mǎnyì	satisfied; pleased; to one's satisfaction
猫	貓	mao1	māo	cat; (dialect) to hide oneself; (coll.) modem
米	米	mi3	mǐ	rice; meter (classifier)
面	面, 麵	mian4	miàn	face; side; surface | flour; noodles
面前	面前	mian4qian2	miànqián	in front of; facing; (in the) presence (of)
名	名	ming2	míng	name; noun (part of speech); place (e.g. among winners)
名称	名稱	ming2cheng1	míngchēng	name (of a thing); name (of an organization)
名单	名單	ming2dan1	míngdān	list of names
明星	明星	ming2xing1	míngxīng	star; celebrity
目的	目的	mu4di4	mùdì	purpose; aim; goal; target; objective
拿出	拿出	na2chu1	náchū	to take out; to put out; to provide
拿到	拿到	na2dao4	nádào	to get; to obtain
那会儿	那會兒	na4hui4r5	nàhuìr	at that time (in the past or the future); also pr. [nèi huì r]
那么	那麼	na4me5	nàme	like that; in that way; or so
那时候	那時候	na4shi2hou5	nàshíhou	at that time
那样	那樣	na4yang4	nàyàng	that kind; that sort
南方	南方	nan2fang1	nánfāng	south; the southern part of the country; the South
难过	難過	nan2guo4	nánguò	to feel sad; to feel unwell; (of life) to be difficult
难看	難看	nan2kan4	nánkàn	ugly; unsightly
难受	難受	nan2shou4	nánshòu	to feel unwell; to suffer pain; to be difficult to bear
难题	難題	nan2ti2	nántí	difficult problem
难听	難聽	nan2ting1	nántīng	unpleasant to hear; coarse; vulgar
能够	能夠	neng2gou4	nénggòu	to be capable of; to be able to; can
年级	年級	nian2ji2	niánjí	grade; year (in school, college etc)
年轻	年輕	nian2qing1	niánqīng	young
鸟	鳥	niao3	niǎo	bird; "bird" radical in Chinese characters (Kangxi radical 196); (dialect) to pay attention to
弄	弄	nong4	nòng	to do; to manage; to handle
努力	努力	nu3li4	nǔlì	to make an effort; to try hard; to strive; hard-working; conscientious
爬	爬	pa2	pá	to crawl; to climb; to get up or sit up
