挨着	挨著	ai1zhe5	āizhe	near
夺取	奪取	duo2qu3	duóqǔ	to seize; to capture; to wrest control of
恩人	恩人	en1ren2	ēnrén	a benefactor; a person who has significantly helped sb else
儿科	兒科	er2ke1	érkē	pediatrics
发病	發病	fa1bing4	fābìng	(of an illness) to occur; (of a person) to get sick; to fall ill; onset (of a medical condition)
发电	發電	fa1dian4	fādiàn	to generate electricity; to send a telegram
发放	發放	fa1fang4	fāfàng	to provide; to give; to grant
发怒	發怒	fa1nu4	fānù	to get angry
发起	發起	fa1qi3	fāqǐ	to originate; to initiate; to launch (an attack, an initiative etc)
发言人	發言人	fa1yan2ren2	fāyánrén	spokesperson
发炎	發炎	fa1yan2	fāyán	to become inflamed; inflammation
法庭	法庭	fa3ting2	fǎtíng	court of law
法语	法語	Fa3yu3	Fǎyǔ	French (language)
番	番	fan1	fān	foreign (non-Chinese); barbarian; classifier for occurrences (of an event, action or speech utterance)
番茄	番茄	fan1qie2	fānqié	tomato
凡是	凡是	fan2shi4	fánshì	each and every; every; all
繁殖	繁殖	fan2zhi2	fánzhí	to breed; to reproduce; to propagate
反抗	反抗	fan3kang4	fǎnkàng	to resist; to rebel
反问	反問	fan3wen4	fǎnwèn	to ask (a question) in reply; to answer a question with a question; rhetorical question
反响	反響	fan3xiang3	fǎnxiǎng	repercussions; reaction; echo
犯	犯	fan4	fàn	to violate; to offend; to assault
犯规	犯規	fan4gui1	fànguī	to break the rules; an illegality; a foul
犯罪	犯罪	fan4zui4	fànzuì	to commit a crime; crime; offense
防范	防範	fang2fan4	fángfàn	to be on guard; wariness; to guard against
防守	防守	fang2shou3	fángshǒu	to defend; to protect (against)
房价	房價	fang2jia4	fángjià	house price; cost of housing
仿佛	彷彿	fang3fu2	fǎngfú	to seem; as if; alike
飞船	飛船	fei1chuan2	fēichuán	spaceship; spacecraft; dirigible
飞行员	飛行員	fei1xing2yuan2	fēixíngyuán	pilot; aviator
肺	肺	fei4	fèi	lung
分工	分工	fen1gong1	fēngōng	to divide up the work; division of labor
分裂	分裂	fen1lie4	fēnliè	to split up; to divide; to break up
愤怒	憤怒	fen4nu4	fènnù	angry; indignant; wrath
风暴	風暴	feng1bao4	fēngbào	storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)
峰会	峰會	feng1hui4	fēnghuì	summit meeting
奉献	奉獻	feng4xian4	fèngxiàn	to offer respectfully; to consecrate; to dedicate
佛	佛	fo2	fó	(female) head ornament; variant of 佛
佛教	佛教	Fo2jiao4	Fójiào	Buddhism
服	服	fu2	fú	clothes; dress; garment
浮	浮	fu2	fú	to float; superficial; floating
父女	父女	fu4nü3	fùnǚ	father and daughter
父子	父子	fu4zi3	fùzǐ	father and son
负	負	fu4	fù	to bear; to carry (on one's back); to turn one's back on
妇女	婦女	fu4nü3	fùnǚ	woman
复苏	復甦	fu4su1	fùsū	to recover (health, economic); to resuscitate; anabiosis
副	副	fu4	fù	deputy; secondary; auxiliary | measure word for pairs or sets
富人	富人	fu4ren2	fùrén	rich person; the rich
富有	富有	fu4you3	fùyǒu	rich; wealthy; affluent; to be rich in; to be replete with
改装	改裝	gai3zhuang1	gǎizhuāng	to change one's costume; to repackage; to remodel
干涉	干涉	gan1she4	gānshè	to interfere; to meddle; interference
肝	肝	gan1	gān	liver; (slang) to put in long hours, typically late into the night, playing (a video game); (of a video game) involving a lot of repetition in order to progress; grindy
杆	桿	gan3	gǎn	stick; pole; lever
赶不上	趕不上	gan3bu4shang4	gǎnbùshàng	can't keep up with; can't catch up with; cannot overtake
赶忙	趕忙	gan3mang2	gǎnmáng	to hurry; to hasten; to make haste
赶上	趕上	gan3shang4	gǎnshàng	to keep up with; to catch up with; to overtake
敢于	敢於	gan3yu2	gǎnyú	to have the courage to do sth; to dare to; bold in
感人	感人	gan3ren2	gǎnrén	touching; moving
刚好	剛好	gang1hao3	gānghǎo	just; exactly; to happen to be
岗位	崗位	gang3wei4	gǎngwèi	a post; a job
港口	港口	gang3kou3	gǎngkǒu	port; harbor
高层	高層	gao1ceng2	gāocéng	high-rise; high level; high class
高档	高檔	gao1dang4	gāodàng	superior quality; high grade; top grade
高等	高等	gao1deng3	gāoděng	high-level; higher (animals, education etc); advanced (math etc)
高峰	高峰	gao1feng1	gāofēng	peak; summit; height
高考	高考	gao1kao3	gāokǎo	college entrance exam (especially as abbr. for 普通高等学校招生全国统一考试); (Tw) entrance exam for senior government service posts (abbr. for 公务人员高等考试)
高科技	高科技	gao1ke1ji4	gāokējì	high tech; high technology
高手	高手	gao1shou3	gāoshǒu	expert; past master; dab hand
稿子	稿子	gao3zi5	gǎozi	draft of a document; script; manuscript
歌唱	歌唱	ge1chang4	gēchàng	to sing
歌词	歌詞	ge1ci2	gēcí	song lyric; lyrics
歌星	歌星	ge1xing1	gēxīng	singing star; famous singer
革新	革新	ge2xin1	géxīn	to innovate; innovation
更是	更是	geng4shi4	gèngshì	even more (so)
工商	工商	gong1shang1	gōngshāng	industry and commerce
公	公	gong1	gōng	public; collectively owned; common
公安	公安	gong1an1	gōngān	(Ministry of) Public Security; public safety; public security
公鸡	公雞	gong1ji1	gōngjī	cock; rooster
公众	公眾	gong1zhong4	gōngzhòng	public
公主	公主	gong1zhu3	gōngzhǔ	princess
